"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_000015",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000018",1728,3480,4121,1303,3093,563,1529,1923,661,2163,3205,1536
"NM_000019",488,575,844,505,825,201,659,542,207,690,811,557
"NM_000020",0,0,0,4,6,0,2,2,0,1,8,3
"NM_000021",1102,1184,1971,908,1269,382,1172,732,469,1282,1209,881
"NM_000022",783,1644,2103,1274,2480,643,921,1115,494,2079,3123,1264
"NM_000025",0,0,1,0,0,0,3,1,0,1,0,0
"NM_000029",0,0,0,0,0,0,1,0,0,0,0,0
"NM_000030",0,0,0,0,0,0,0,0,0,0,0,1
"NM_000035",1,2,0,0,0,0,0,1,0,0,1,0
"NM_000040",0,0,0,0,2,0,0,0,0,0,0,0
"NM_000042",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000046",357,297,583,175,184,55,186,79,65,390,231,231
"NM_000048",399,1022,706,239,803,121,267,483,130,294,710,318
"NM_000049",1,3,5,19,14,4,8,6,4,9,12,8
"NM_000050",50,290,314,10,34,4,27,51,16,21,23,9
"NM_000059",691,483,3198,996,919,251,786,643,730,820,880,1602
"NM_000062",0,0,0,0,0,0,0,0,1,0,0,0
"NM_000064",61,25,147,49,36,26,41,12,28,46,6,56
"NM_000066",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000067",62,37,90,37,37,10,30,22,4,52,32,55
"NM_000069",1,1,8,0,0,0,1,0,0,0,0,0
"NM_000073",1,0,1,0,0,0,0,1,1,1,0,0
"NM_000075",953,1940,1917,729,1766,433,947,1214,369,1394,2075,1055
"NM_000078",67,166,259,159,197,33,63,66,42,88,136,71
"NM_000079",0,0,1,0,0,0,0,0,0,0,0,0
"NM_000080",8,7,25,4,3,1,5,4,7,5,2,1
"NM_000082",214,212,484,257,272,41,287,179,93,286,286,264
"NM_000083",0,0,1,2,3,1,0,0,2,5,7,2
"NM_000085",0,1,0,0,0,0,9,0,0,0,0,0
"NM_000087",58,30,114,16,2,1,39,10,13,12,7,2
"NM_000088",108,43,210,101,33,37,84,11,55,102,36,59
"NM_000089",0,0,0,1,0,0,0,1,2,1,0,0
"NM_000090",1,0,13,0,0,0,0,1,1,2,0,1
"NM_000091",261,141,624,509,374,75,947,320,314,172,143,363
"NM_000092",112,48,224,508,381,78,486,158,160,172,104,248
"NM_000094",65,80,287,38,40,27,43,25,12,59,53,60
"NM_000095",4,0,2,0,0,0,0,1,0,0,0,1
"NM_000097",1353,1184,2705,1517,1564,494,1754,1050,784,2086,1690,1679
"NM_000101",1147,4340,2608,644,5038,421,842,2485,417,1405,3925,1038
"NM_000102",0,0,2,0,0,0,0,0,0,1,0,0
"NM_000104",1259,1209,4902,1122,737,178,2139,882,1099,4011,2885,3616
"NM_000110",623,527,1264,135,282,67,352,279,175,590,478,180
"NM_000111",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000112",223,142,492,284,251,68,315,157,119,326,262,247
"NM_000113",376,384,715,327,497,165,376,263,182,557,487,432
"NM_000115",2,1,6,1,3,0,4,5,1,7,12,7
"NM_000118",142,57,248,119,34,41,46,4,26,218,44,100
"NM_000122",770,732,1379,676,814,301,723,460,318,840,634,622
"NM_000124",631,488,1722,808,552,110,1381,469,588,804,537,834
"NM_000126",1693,2670,3299,1544,2706,487,1855,1671,669,2509,2894,1614
"NM_000127",284,249,432,186,280,66,271,148,78,276,228,153
"NM_000128",0,0,1,0,0,0,0,0,0,0,0,2
"NM_000129",145,175,218,181,220,26,29,10,5,120,104,16
"NM_000130",1,5,12,2,0,0,0,0,0,4,1,2
"NM_000131",1,0,4,0,0,0,1,0,0,0,0,0
"NM_000134",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000136",204,149,326,208,206,84,200,88,42,284,172,181
"NM_000137",365,950,741,255,781,126,306,542,184,414,742,299
"NM_000138",1000,829,1902,1275,920,337,703,326,191,1298,758,770
"NM_000141",2,2,5,0,0,0,0,0,0,2,0,0
"NM_000143",950,1346,1663,938,1631,366,1010,918,404,1257,1784,896
"NM_000145",1,0,0,1,0,0,0,0,0,0,0,1
"NM_000147",507,949,1497,622,1002,325,637,449,365,902,1014,631
"NM_000148",2,7,18,0,3,0,7,4,2,2,1,1
"NM_000149",5,1,24,0,0,1,0,3,0,2,0,0
"NM_000150",3,3,16,0,0,0,0,1,0,0,0,0
"NM_000152",172,130,515,154,119,47,164,87,139,293,166,250
"NM_000154",95,380,359,74,270,33,92,343,86,149,392,139
"NM_000155",320,372,708,188,346,117,255,255,195,297,314,352
"NM_000156",58,116,143,40,176,49,34,98,20,134,206,72
"NM_000158",3759,3199,8575,4410,3498,850,3022,1370,1158,6298,4773,3125
"NM_000160",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000163",13,6,18,103,115,63,29,11,14,30,35,123
"NM_000164",381,260,791,173,164,115,266,133,192,177,114,203
"NM_000165",0,0,0,0,2,0,0,0,0,1,0,1
"NM_000168",4,1,6,0,0,0,1,0,1,1,2,0
"NM_000170",744,757,1238,818,1115,556,982,438,379,1111,1002,1052
"NM_000178",442,912,811,344,1003,190,353,610,159,577,975,507
"NM_000180",0,0,5,1,0,1,0,1,1,1,0,0
"NM_000182",3497,5374,5862,4206,7014,1590,3887,3861,1652,4404,5522,2791
"NM_000185",32,23,46,9,10,2,18,3,2,15,6,4
"NM_000187",7,2,10,8,9,1,12,4,3,14,1,1
"NM_000189",3408,2315,4774,2767,2337,1153,3238,1644,1163,5018,2052,2376
"NM_000191",640,1224,1394,473,855,191,635,631,383,695,1036,500
"NM_000192",1,0,0,1,0,0,0,0,0,0,1,0
"NM_000193",0,0,3,0,0,0,2,2,0,0,0,0
"NM_000196",0,0,0,2,0,3,0,0,0,2,0,0
"NM_000197",2,0,0,1,1,0,0,0,1,0,0,4
"NM_000198",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000199",259,219,824,253,176,85,277,122,196,331,118,264
"NM_000200",0,0,0,0,0,0,0,1,0,0,0,0
"NM_000201",3059,3719,6343,2719,3816,1817,2271,1400,936,4345,2753,2541
"NM_000203",34,28,85,23,30,9,37,37,39,43,19,52
"NM_000204",0,1,0,0,0,0,0,0,0,0,0,0
"NM_000208",1172,954,2540,2482,1957,949,1288,755,728,2397,1283,1708
"NM_000209",4,1,4,1,4,0,2,1,2,9,3,3
"NM_000212",499,496,938,608,588,211,501,276,147,446,343,481
"NM_000214",178,157,334,146,97,18,219,83,87,242,183,152
"NM_000215",2539,2636,4824,1844,2122,1021,1656,1055,815,2989,1775,1961
"NM_000217",61,29,105,224,193,120,56,27,21,92,65,52
"NM_000219",0,0,2,2,0,0,0,0,0,0,0,6
"NM_000220",1,1,0,0,0,0,0,0,0,0,0,0
"NM_000222",0,1,13,0,0,0,0,0,0,1,2,0
"NM_000223",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000224",3,5,6,3,14,4,4,8,1,4,0,2
"NM_000226",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000228",14,26,29,1,5,4,4,12,6,11,40,39
"NM_000229",37,24,112,42,33,25,30,25,37,55,31,56
"NM_000230",0,1,0,0,0,0,0,0,0,1,0,0
"NM_000231",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000232",39,19,79,89,83,34,29,14,17,176,93,218
"NM_000233",1,0,6,0,0,0,0,0,0,3,0,2
"NM_000235",969,1004,1799,665,1037,235,791,653,251,1526,1643,752
"NM_000236",8,4,4,20,2,1,7,0,7,19,3,22
"NM_000237",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000238",0,2,8,2,1,0,0,0,0,2,2,3
"NM_000239",0,1,4,2,1,0,0,0,0,0,0,1
"NM_000242",0,0,0,0,0,0,0,0,0,0,1,0
"NM_000243",5,6,2,3,0,0,0,2,1,4,1,2
"NM_000246",2258,1893,5445,3122,2798,1833,3076,2018,2202,3013,2012,3223
"NM_000250",1,1,4,0,5,0,0,2,0,0,4,0
"NM_000251",543,498,1160,751,802,121,810,571,283,726,797,727
"NM_000253",23,21,30,7,6,0,3,8,4,24,54,36
"NM_000255",326,297,956,459,367,87,655,279,279,511,441,505
"NM_000256",4,2,15,1,9,2,3,7,3,5,5,12
"NM_000257",6,7,6,13,11,4,2,1,0,30,17,5
"NM_000258",0,1,0,0,0,0,0,0,0,0,0,0
"NM_000259",1024,735,2073,1956,1568,271,1422,641,479,2119,1642,1619
"NM_000261",0,0,0,0,0,0,0,0,0,0,1,0
"NM_000263",296,665,839,201,595,120,190,356,204,326,527,333
"NM_000265",2744,6565,6975,1611,4624,900,2011,2550,1127,3253,4516,2104
"NM_000267",3259,2161,7257,3881,2674,609,3692,1442,1730,4364,1990,2912
"NM_000269",767,1822,1171,464,2212,283,718,1226,180,1025,2141,781
"NM_000270",698,1008,1195,512,1033,219,615,701,192,641,1061,459
"NM_000271",882,670,1652,691,606,358,695,324,462,1057,518,886
"NM_000286",111,95,266,108,99,37,125,79,73,205,135,131
"NM_000288",131,142,214,103,114,34,112,90,50,169,83,75
"NM_000294",267,485,648,206,493,112,258,268,97,336,617,249
"NM_000296",1265,1359,3365,910,1169,513,1205,933,798,1531,1065,1427
"NM_000297",426,319,785,452,401,101,476,241,190,547,373,449
"NM_000299",0,1,0,0,0,0,1,0,0,1,0,0
"NM_000302",683,1009,1228,444,1045,282,753,685,233,1023,1015,625
"NM_000303",834,1032,1479,542,874,283,851,481,337,1106,856,682
"NM_000310",893,874,1574,667,831,322,854,438,293,1186,1012,725
"NM_000311",84,101,220,78,76,14,182,135,59,176,174,208
"NM_000312",0,0,1,0,0,0,0,0,0,1,0,0
"NM_000313",0,0,0,1,1,0,0,1,0,1,3,0
"NM_000315",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000316",1,1,2,0,0,0,0,0,0,0,0,0
"NM_000317",89,75,166,87,77,16,103,67,63,129,101,75
"NM_000320",159,115,399,95,73,87,114,61,42,176,78,93
"NM_000321",821,441,1080,492,762,73,669,211,151,1323,703,432
"NM_000322",1,0,6,3,0,1,2,0,5,5,0,1
"NM_000324",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000326",1,2,1,0,5,0,0,1,0,0,0,8
"NM_000329",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000332",1204,649,2125,830,834,474,2595,1067,1182,2280,938,1397
"NM_000333",1485,683,2577,1300,803,304,1244,553,693,1587,682,1131
"NM_000334",9,12,56,11,6,0,4,7,11,22,6,14
"NM_000336",5,12,7,0,2,0,3,0,7,1,2,3
"NM_000337",2,1,3,0,1,0,2,0,0,2,0,1
"NM_000338",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000339",4,4,11,15,19,9,23,13,1,19,18,46
"NM_000341",3,0,2,0,0,0,8,0,0,2,0,4
"NM_000342",1,0,5,1,1,0,0,0,1,0,0,4
"NM_000343",0,2,0,0,0,0,0,0,0,0,0,0
"NM_000346",2008,613,4189,637,255,340,957,179,395,1225,323,1379
"NM_000348",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000349",9,9,19,29,25,12,28,5,1,10,15,9
"NM_000350",12,12,15,5,20,4,1,4,1,4,15,7
"NM_000353",0,3,2,2,0,0,0,1,0,0,1,0
"NM_000355",171,310,284,129,238,47,85,77,28,272,278,136
"NM_000358",0,7,0,0,4,0,1,3,0,0,1,0
"NM_000359",43,13,49,13,14,8,61,11,12,30,17,21
"NM_000360",0,0,3,0,0,0,0,0,7,0,2,0
"NM_000361",1,0,0,0,3,0,0,0,4,0,0,0
"NM_000362",0,0,0,1,0,0,0,0,1,1,0,0
"NM_000363",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000368",1035,691,1830,755,651,270,1021,373,443,1026,538,752
"NM_000370",0,0,0,0,0,0,0,1,0,0,0,0
"NM_000371",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000372",0,0,0,0,0,0,0,0,0,0,2,0
"NM_000378",0,0,2,9,1,5,6,0,1,10,7,9
"NM_000379",2,0,5,5,0,1,5,0,2,4,0,6
"NM_000383",1,4,7,1,1,0,1,2,0,0,2,1
"NM_000384",0,1,2,0,0,0,0,0,2,1,0,1
"NM_000386",739,701,1173,651,807,241,801,477,273,950,746,559
"NM_000387",213,320,416,186,372,66,142,206,87,269,367,186
"NM_000388",3,2,8,3,1,2,0,4,3,6,4,4
"NM_000391",1423,503,3626,966,320,517,1576,194,860,1952,417,1498
"NM_000392",28,17,34,13,8,0,43,7,6,22,11,21
"NM_000393",24,17,37,22,14,2,13,13,2,41,30,23
"NM_000394",2,0,0,0,0,0,0,0,0,4,0,2
"NM_000395",527,445,1051,365,317,101,1138,670,369,620,642,658
"NM_000396",87,36,162,66,45,22,114,37,48,73,29,67
"NM_000398",1015,429,2092,845,456,498,688,223,326,1218,305,951
"NM_000400",368,481,747,253,435,131,342,336,169,410,562,378
"NM_000404",547,851,1169,444,848,255,511,464,225,665,792,510
"NM_000406",1,0,0,0,0,0,0,0,0,0,0,0
"NM_000409",2,3,8,0,0,0,0,0,0,0,0,0
"NM_000410",35,27,86,10,42,12,10,19,11,33,28,17
"NM_000411",386,360,610,264,307,144,358,191,158,632,479,488
"NM_000412",0,0,0,0,0,0,3,0,0,0,0,0
"NM_000416",2342,1659,4532,2772,2144,409,2559,1351,973,3293,2774,2638
"NM_000417",434,319,727,240,166,77,218,75,76,233,165,104
"NM_000419",7,6,4,3,4,0,6,4,1,1,2,6
"NM_000421",105,80,242,96,64,44,70,25,59,180,67,79
"NM_000422",7,4,5,2,10,0,3,14,4,15,70,48
"NM_000423",0,0,0,0,0,0,1,0,0,0,0,0
"NM_000424",1,1,6,0,0,0,0,3,0,0,0,1
"NM_000428",0,2,7,6,4,5,0,1,0,6,4,3
"NM_000429",2,0,4,4,1,3,3,1,1,5,1,6
"NM_000430",2347,1795,4924,2377,1827,689,2819,1011,1284,3115,1839,2315
"NM_000432",19,29,27,4,6,1,19,9,1,3,5,11
"NM_000435",2,4,5,0,0,1,2,0,1,7,4,3
"NM_000437",181,188,292,120,154,61,202,105,67,257,214,126
"NM_000439",0,1,0,0,0,0,0,0,0,1,0,0
"NM_000440",2,0,0,1,0,1,0,0,0,1,4,0
"NM_000441",7,1,12,2,0,0,1,0,3,2,0,6
"NM_000442",78,92,116,21,64,6,39,29,9,81,78,27
"NM_000443",161,189,325,104,87,12,229,194,161,251,257,244
"NM_000445",2042,1988,5120,1678,2092,1208,1550,1171,975,2981,1845,2577
"NM_000446",0,0,2,0,0,0,0,0,0,0,0,0
"NM_000447",67,142,176,47,132,26,66,114,43,101,195,103
"NM_000448",5,7,12,0,0,0,0,0,6,2,7,3
"NM_000449",1930,2492,4055,1901,3495,920,1879,1670,896,2424,2808,1717
"NM_000450",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000452",0,3,10,0,0,0,0,1,0,0,0,0
"NM_000453",9,8,13,6,7,1,13,4,1,15,15,6
"NM_000454",902,1767,1620,662,1566,320,915,1208,350,1456,2468,1226
"NM_000455",605,1634,1347,500,1490,265,490,1015,290,796,1584,584
"NM_000456",206,192,308,142,204,74,178,98,93,220,182,154
"NM_000459",1,0,2,0,0,0,0,1,0,1,1,0
"NM_000477",0,0,2,0,0,0,0,0,2,2,3,1
"NM_000481",96,41,241,76,59,32,115,25,88,82,25,101
"NM_000486",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000488",0,0,2,0,2,1,0,0,0,1,0,0
"NM_000491",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000492",1,6,0,2,1,1,2,0,0,1,1,1
"NM_000493",2,2,0,1,1,0,0,0,0,3,0,0
"NM_000494",0,1,1,0,0,0,0,0,0,1,0,1
"NM_000496",22,6,22,8,2,2,12,2,6,11,0,12
"NM_000497",0,0,0,0,0,1,2,1,0,0,0,0
"NM_000498",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000499",8,11,24,1,5,3,18,2,0,19,7,1
"NM_000502",0,1,1,1,1,1,0,0,0,2,0,0
"NM_000505",40,71,81,52,81,17,31,35,6,45,88,44
"NM_000506",0,0,0,0,0,0,0,0,0,2,1,2
"NM_000508",0,0,0,0,1,0,0,0,0,0,0,0
"NM_000509",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000514",2,0,4,0,2,1,0,0,1,2,4,5
"NM_000520",1174,1851,2595,779,1933,399,941,1072,533,1285,1918,909
"NM_000522",3,1,0,1,3,0,0,0,0,1,0,1
"NM_000523",0,0,0,0,0,1,0,0,0,0,0,0
"NM_000526",0,0,0,0,0,0,0,0,1,0,0,0
"NM_000527",1089,1442,2494,882,1618,538,1207,870,564,1327,1473,1000
"NM_000528",2451,4945,5252,1889,6323,1113,1792,3138,1125,4402,6434,2859
"NM_000530",29,36,68,14,21,6,30,12,9,30,43,10
"NM_000532",648,1259,1111,593,1178,258,750,896,278,931,1158,614
"NM_000537",0,0,1,0,0,0,1,0,0,0,0,0
"NM_000538",212,91,460,213,118,61,331,71,140,280,118,278
"NM_000539",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000541",0,1,12,1,0,1,4,0,0,0,0,0
"NM_000542",0,0,0,0,0,0,1,0,0,0,0,0
"NM_000546",1557,1513,2848,1171,1314,765,1338,869,622,2102,1221,1462
"NM_000548",734,634,1524,500,632,377,571,394,406,829,459,682
"NM_000549",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000550",0,0,1,0,0,0,0,0,0,0,0,0
"NM_000551",1540,1248,3212,1374,1540,665,1616,957,707,1747,1323,1317
"NM_000552",4,1,18,0,0,0,4,0,0,7,5,25
"NM_000553",979,786,3126,1865,1143,274,1802,700,989,1479,1153,1455
"NM_000554",2,0,1,0,2,1,0,0,1,1,0,1
"NM_000560",6722,7872,11522,5375,9726,2304,6600,5068,2414,8515,10685,6028
"NM_000562",0,0,0,1,0,0,0,0,0,0,0,0
"NM_000564",5,2,2,0,3,0,5,1,2,0,2,5
"NM_000566",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000570",0,0,0,0,0,0,0,1,0,0,1,0
"NM_000572",202,267,395,79,205,41,52,111,11,216,269,95
"NM_000575",161,276,412,154,208,18,142,96,85,10,3,5
"NM_000576",71,46,90,15,22,3,51,8,7,111,63,68
"NM_000578",5,12,19,3,10,0,5,10,1,8,20,7
"NM_000583",0,0,2,0,0,0,0,0,0,0,0,0
"NM_000584",4,26,51,15,24,2,20,11,4,70,39,9
"NM_000586",0,0,0,0,2,0,0,0,0,0,0,0
"NM_000587",0,0,0,0,0,0,0,0,1,0,0,0
"NM_000590",0,0,0,0,1,0,0,0,0,0,0,0
"NM_000596",0,1,3,0,0,0,0,0,0,0,0,0
"NM_000598",0,1,2,0,2,0,1,0,0,2,12,10
"NM_000599",1,0,0,0,0,0,0,2,0,0,0,0
"NM_000600",24,27,52,12,2,1,19,9,1,36,22,8
"NM_000601",8,21,11,1,15,1,7,2,0,168,169,48
"NM_000602",14,11,31,9,19,2,29,14,10,25,25,50
"NM_000603",1,5,29,1,3,3,2,3,2,4,5,2
"NM_000607",0,0,1,0,0,0,0,0,0,1,0,4
"NM_000608",0,0,0,0,0,0,0,0,0,0,0,1
"NM_000611",1827,2340,3399,2055,2729,787,1777,1229,613,2570,2915,1774
"NM_000613",2,1,23,1,0,1,1,2,3,5,1,1
"NM_000618",300,118,752,227,144,38,397,109,159,588,219,323
"NM_000619",1,0,0,0,3,0,0,1,0,2,9,0
"NM_000623",0,5,0,0,0,1,0,2,1,0,0,1
"NM_000624",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000625",4,0,5,0,1,1,0,2,0,1,0,0
"NM_000626",767,2593,1468,454,2520,211,509,926,197,972,2054,459
"NM_000628",851,843,1655,699,830,290,706,424,290,1499,1302,1014
"NM_000629",1035,708,2127,1192,1047,272,1408,505,567,2218,1329,1776
"NM_000631",156,443,376,41,313,43,352,521,109,111,299,106
"NM_000632",96,149,195,59,150,28,43,50,18,68,88,37
"NM_000633",3437,2799,6980,3537,2987,863,3754,1943,1644,3838,2266,2473
"NM_000634",0,0,1,0,0,0,0,1,0,0,0,0
"NM_000635",98,77,207,80,101,47,51,37,22,151,76,115
"NM_000637",1057,1172,1793,907,1502,406,1027,907,411,1369,1349,969
"NM_000638",3,3,0,1,0,0,4,2,0,2,2,1
"NM_000639",0,0,0,1,2,0,0,0,0,1,0,0
"NM_000641",3,6,6,0,2,0,0,1,0,6,2,0
"NM_000642",1095,856,3456,1592,1210,252,1549,761,692,1630,1207,1443
"NM_000644",1055,831,3375,1567,1178,248,1503,737,669,1582,1181,1417
"NM_000651",4704,2147,6252,6195,3861,914,2443,1044,674,5018,2191,2872
"NM_000655",805,880,791,311,963,157,114,95,16,513,625,189
"NM_000660",1974,808,4753,1682,646,943,1095,280,758,2466,461,1701
"NM_000661",16416,29146,38356,16244,31962,6267,19095,21550,7901,22994,38779,14624
"NM_000663",162,144,307,176,187,103,206,73,62,204,132,108
"NM_000667",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000670",0,0,0,0,0,1,0,0,0,0,0,0
"NM_000671",841,984,1634,784,1203,301,830,736,285,1238,1471,815
"NM_000672",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000673",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000675",529,1138,1141,330,754,170,322,449,197,854,1181,454
"NM_000676",30,35,37,0,2,0,0,1,1,2,1,1
"NM_000677",1,3,12,3,12,3,1,4,0,4,2,3
"NM_000678",0,1,4,0,0,0,0,0,0,2,0,1
"NM_000679",1,0,0,0,0,0,1,1,2,6,0,1
"NM_000680",0,0,0,2,0,1,0,0,1,0,0,0
"NM_000681",0,1,0,0,0,0,2,0,0,0,2,0
"NM_000682",0,3,11,1,0,0,5,1,0,2,3,5
"NM_000684",15,30,64,30,52,19,39,54,26,30,16,28
"NM_000689",0,1,0,0,1,0,0,0,0,0,0,0
"NM_000690",132,152,204,387,776,177,120,77,37,234,223,71
"NM_000692",378,446,507,274,521,219,399,370,176,504,565,433
"NM_000696",686,848,1215,582,1089,273,561,615,213,918,1115,567
"NM_000697",2,2,2,0,2,0,0,1,0,4,0,0
"NM_000698",978,929,1487,979,1191,283,579,373,205,820,819,922
"NM_000699",52,59,54,37,90,18,41,58,21,27,67,50
"NM_000700",7,32,57,7,2,1,2,2,0,27,50,36
"NM_000701",10734,10787,17467,7755,9257,3944,9351,6050,3841,11563,7757,6904
"NM_000702",1,0,2,0,0,0,0,0,0,1,0,1
"NM_000704",19,14,20,25,37,26,21,12,5,26,33,24
"NM_000705",0,3,5,0,0,0,2,3,5,4,0,5
"NM_000706",3,1,28,1,0,0,0,0,0,2,0,2
"NM_000707",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000710",1,0,0,0,0,0,0,0,0,0,1,3
"NM_000713",96,369,305,78,258,32,81,185,51,161,329,131
"NM_000714",94,441,265,53,281,40,160,413,107,163,400,110
"NM_000715",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000717",4,3,10,2,0,0,0,0,0,4,2,0
"NM_000718",36,19,43,42,20,7,13,13,14,38,48,37
"NM_000720",150,159,233,64,79,13,9,22,9,42,50,47
"NM_000721",3934,2302,7738,399,340,145,3921,1374,1550,3330,1858,3254
"NM_000723",122,127,304,74,133,46,121,93,58,154,135,215
"NM_000727",0,1,6,0,0,0,6,0,0,0,1,0
"NM_000728",0,1,2,0,1,0,0,0,0,1,0,0
"NM_000729",0,0,0,0,0,0,0,0,0,0,1,1
"NM_000730",0,0,3,0,0,0,0,0,0,1,0,0
"NM_000732",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000733",8,1,6,3,1,0,0,2,0,14,1,7
"NM_000738",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000744",2,4,20,1,0,0,1,0,0,2,0,1
"NM_000745",175,125,278,217,192,57,134,82,51,214,188,200
"NM_000748",0,1,0,1,0,0,1,0,2,5,0,0
"NM_000749",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000750",2,0,0,0,0,0,0,0,0,0,1,0
"NM_000754",429,650,790,342,641,180,343,404,128,525,760,376
"NM_000755",75,106,229,39,49,39,43,49,45,121,103,100
"NM_000761",0,0,3,2,2,1,3,0,2,1,0,0
"NM_000762",0,0,0,1,0,0,1,0,0,0,0,1
"NM_000764",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000766",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000767",0,0,1,0,0,1,4,0,0,0,0,0
"NM_000769",2,4,1,1,0,0,0,2,4,1,1,0
"NM_000771",0,0,2,0,1,0,4,0,2,0,0,0
"NM_000772",4,2,2,1,2,0,1,2,0,1,1,1
"NM_000773",7,3,16,0,1,1,0,3,3,1,0,1
"NM_000778",0,0,0,1,0,0,0,0,0,0,0,0
"NM_000780",0,0,0,0,0,0,0,0,0,0,1,0
"NM_000781",30,47,99,18,6,11,32,13,22,11,15,35
"NM_000783",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000784",83,132,100,3,3,2,17,5,1,1,5,13
"NM_000785",12,15,48,9,24,2,11,21,8,17,20,13
"NM_000786",1796,2183,3836,1269,1908,398,1845,1611,684,2619,2613,1702
"NM_000787",0,4,4,0,0,0,0,1,0,0,0,0
"NM_000788",486,274,691,463,524,121,591,342,256,694,435,486
"NM_000789",4,5,32,2,2,0,13,2,2,5,2,0
"NM_000792",0,0,0,4,0,1,0,0,0,0,1,0
"NM_000793",0,0,2,0,1,0,0,0,0,0,0,0
"NM_000794",0,0,0,0,0,0,0,2,0,0,0,0
"NM_000795",0,0,1,2,1,0,0,0,1,1,0,0
"NM_000799",0,0,0,0,0,0,5,0,0,1,1,0
"NM_000801",1999,1605,3856,1523,1953,855,1984,969,643,3098,1817,1650
"NM_000802",0,0,2,0,0,0,0,0,0,0,0,0
"NM_000805",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000806",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000810",0,1,2,0,0,0,0,0,0,2,0,0
"NM_000811",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000812",0,0,0,1,0,0,0,0,0,0,0,0
"NM_000813",22,29,81,1,2,1,20,6,3,62,63,54
"NM_000815",0,0,1,0,0,0,0,0,0,1,0,0
"NM_000817",32,25,55,4,2,0,7,5,5,15,12,14
"NM_000818",0,0,1,0,0,0,0,0,0,0,0,0
"NM_000820",27,25,14,2,3,0,20,15,1,14,28,14
"NM_000821",282,304,606,253,235,117,405,203,175,395,259,292
"NM_000823",0,0,5,1,2,0,0,1,0,4,3,2
"NM_000825",47,28,156,68,56,11,83,40,50,43,29,62
"NM_000831",0,0,2,0,0,1,0,0,0,1,0,0
"NM_000832",25,18,85,24,23,9,11,2,1,4,5,6
"NM_000833",125,87,91,20,47,6,39,14,2,59,48,27
"NM_000834",1,3,8,1,9,2,1,0,0,5,11,6
"NM_000835",0,1,1,1,3,0,0,3,1,3,1,7
"NM_000836",18,10,75,19,9,12,10,5,16,33,1,10
"NM_000842",225,0,561,170,0,169,181,0,128,174,2,322
"NM_000843",0,1,0,2,2,0,0,0,1,1,0,0
"NM_000846",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000847",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000848",526,327,1223,986,558,323,449,145,234,336,159,420
"NM_000850",269,271,535,388,429,147,281,155,138,227,203,228
"NM_000851",2,4,23,4,9,5,4,0,11,2,4,4
"NM_000852",2128,6980,5401,1402,6159,816,1823,3426,827,1993,4545,1488
